reaction	enzyme	gene
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	zraS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	zraS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	zraS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	zraS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	zraS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarX	zraS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase RstB	zraS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase TorS	zraS
L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate	lysine&mdash	lysS
L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate	tRNA ligase	lysS
L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate	constitutive	lysS
L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate	lysine&mdash	lysS
L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate	tRNA ligase	lysS
L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate	lysine&mdash	lysU
L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate	tRNA ligase	lysU
L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate	constitutive	lysU
L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate	lysine&mdash	lysU
L-lysine + tRNALys + ATP  ->  L-lysyl-[tRNALys] + AMP + diphosphate	tRNA ligase	lysU
D-tagatofuranose 6-phosphate + ATP  ->  D-tagatofuranose 1,6-bisphosphate + ADP + H+	6-phosphofructokinase 2	pfkB
tRNAHis + L-histidine + ATP  ->  L-histidyl-[tRNAHis] + AMP + diphosphate	histidine--tRNA ligase	hisS
ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+	bifunctional hydroxymethylpyrimidine kinase	pdxK
ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+	phosphomethylpyrimidine kinase	pdxK
ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+	pyridoxal kinase 1	pdxK
ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+	hydroxymethylpyrimidine kinase	pdxK
ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+	bifunctional hydroxymethylpyrimidine kinase	thiD
ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+	phosphomethylpyrimidine kinase	thiD
ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+	pyridoxal kinase 1	thiD
ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+	hydroxymethylpyrimidine kinase	thiD
ATP + biotin + H+  ->  biotinyl-5'-adenylate + diphosphate	DNA-binding transcriptional repressor	birA
ATP + biotin + H+  ->  biotinyl-5'-adenylate + diphosphate	biotin-[acetyl-CoA-carboxylase] ligase BirA	birA
beta-D-fructofuranose 6-phosphate + ATP  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+	6-phosphofructokinase 1	pfkB
beta-D-fructofuranose 6-phosphate + ATP  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+	6-phosphofructokinase 2	pfkB
beta-D-fructofuranose 6-phosphate + ATP  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+	6-phosphofructokinase 1	pfkA
beta-D-fructofuranose 6-phosphate + ATP  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+	6-phosphofructokinase 2	pfkA
ATP + N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + L-glutamine + H2O  ->  ADP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine + L-glutamate + phosphate + H+	phosphoribosylformylglycinamide synthetase	purL
GTP + ATP  ->  pppGpp + AMP + H+	GDP	relA
GTP + ATP  ->  pppGpp + AMP + H+	GTP pyrophosphokinase	relA
tRNAGln + L-glutamine + ATP  ->  L-glutaminyl-[tRNAGln] + AMP + diphosphate	glutamine&mdash	glnS
tRNAGln + L-glutamine + ATP  ->  L-glutaminyl-[tRNAGln] + AMP + diphosphate	tRNA ligase	glnS
L-homoserine + ATP + H+  ->  (L-homoseryl)adenylate + diphosphate	lysine&mdash	lysU
L-homoserine + ATP + H+  ->  (L-homoseryl)adenylate + diphosphate	tRNA ligase	lysU
tRNAVal + L-valine + ATP  ->  L-valyl-[tRNAVal] + AMP + diphosphate	valine&mdash	valS
tRNAVal + L-valine + ATP  ->  L-valyl-[tRNAVal] + AMP + diphosphate	tRNA ligase	valS
ammonium + hydrogen carbonate + ATP  <-->  carbamoyl phosphate + ADP + H2O + H+	catabolic carbamate kinase	allK
ATP + an [RNA 3'-phosphate cyclase]-L-histidine  ->  an [RNA 3'-phosphate cyclase]-Ntau-(5'-adenylyl)-L-histidine + diphosphate	RNA 3'-terminal phosphate cyclase	rtcA
GTP + S-adenosyl-L-methionine + reduced two electron carrier  ->  (8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate + L-methionine + 5'-deoxyadenosine + oxidized electron carrier + H+	GTP 3'	moaA
GTP + S-adenosyl-L-methionine + reduced two electron carrier  ->  (8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate + L-methionine + 5'-deoxyadenosine + oxidized electron carrier + H+	8'-cyclase	moaA
ATP + hydrogen carbonate + propanoyl-CoA  <-->  ADP + (S)-methylmalonyl-CoA + phosphate + H+	propionyl-CoA carboxylase	
ATP + 5-(2-hydroxyethyl)-4-methyl-1,3-thiazole-2-carboxylate  ->  2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate + ADP + H+	hydroxyethylthiazole kinase	thiM
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	valine&mdash	valS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	valS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	methionine&mdash	valS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	valS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	isoleucine&mdash	valS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	valS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	lysine&mdash	valS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	valS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	valine&mdash	metG
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	metG
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	methionine&mdash	metG
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	metG
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	isoleucine&mdash	metG
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	metG
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	lysine&mdash	metG
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	metG
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	valine&mdash	ileS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	ileS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	methionine&mdash	ileS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	ileS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	isoleucine&mdash	ileS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	ileS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	lysine&mdash	ileS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	ileS
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	valine&mdash	lysU
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	lysU
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	methionine&mdash	lysU
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	lysU
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	isoleucine&mdash	lysU
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	lysU
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	lysine&mdash	lysU
L-homocysteine + ATP  ->  L-homocysteine thiolactone + AMP + diphosphate	tRNA ligase	lysU
CDP + ATP  ->  CTP + ADP	adenylate kinase	ndk
CDP + ATP  ->  CTP + ADP	nucleoside diphosphate kinase	ndk
CDP + ATP  ->  CTP + ADP	adenylate kinase	adk
CDP + ATP  ->  CTP + ADP	nucleoside diphosphate kinase	adk
ATP + H2O  ->  AMP + diphosphate + H+	ribosomal protein S12 methylthiotransferase accessory factor YcaO	ycaO
ATP + H2O  ->  AMP + diphosphate + H+	nucleoside triphosphate pyrophosphohydrolase	ycaO
coenzyme A + propanoate + ATP  ->  propanoyl-CoA + AMP + diphosphate	propionyl-CoA synthetase	acs
coenzyme A + propanoate + ATP  ->  propanoyl-CoA + AMP + diphosphate	acetyl-CoA synthetase (AMP-forming)	acs
coenzyme A + propanoate + ATP  ->  propanoyl-CoA + AMP + diphosphate	propionyl-CoA synthetase	prpE
coenzyme A + propanoate + ATP  ->  propanoyl-CoA + AMP + diphosphate	acetyl-CoA synthetase (AMP-forming)	prpE
L-proline + ATP + H+  ->  (L-prolyl)adenylate + diphosphate	proline&mdash	proS
L-proline + ATP + H+  ->  (L-prolyl)adenylate + diphosphate	tRNA ligase	proS
L-methionine + ATP + H+  ->  (L-methionyl)adenylate + diphosphate	methionine&mdash	metG
L-methionine + ATP + H+  ->  (L-methionyl)adenylate + diphosphate	tRNA ligase	metG
L-tryptophan + tRNATrp + ATP  ->  L-tryptophanyl-[tRNATrp] + AMP + diphosphate	tryptophan&mdash	trpS
L-tryptophan + tRNATrp + ATP  ->  L-tryptophanyl-[tRNATrp] + AMP + diphosphate	tRNA ligase	trpS
[ThiS sulfur-carrier protein] + ATP + H+  ->  carboxy-adenylated-[ThiS sulfur-carrier protein] + diphosphate	sulfur carrier protein ThiS adenylyltransferase	thiF
GTP + AMP  <-->  GDP + ADP	adenylate kinase	adk
2'-deoxyuridine + ATP  ->  dUMP + ADP + H+	thymidine	tdk
2'-deoxyuridine + ATP  ->  dUMP + ADP + H+	deoxyuridine kinase	tdk
tRNAIle + L-isoleucine + ATP  ->  L-isoleucyl-[tRNAIle] + AMP + diphosphate	isoleucine&mdash	ileS
tRNAIle + L-isoleucine + ATP  ->  L-isoleucyl-[tRNAIle] + AMP + diphosphate	tRNA ligase	ileS
pppGpp + H2O  ->  GTP + diphosphate	bifunctional (p)ppGpp synthase	spoT
pppGpp + H2O  ->  GTP + diphosphate	hydrolase SpoT	spoT
1-(5-phospho-beta-D-ribosyl)-ATP + diphosphate  <-->  ATP + 5-phospho-alpha-D-ribose 1-diphosphate	ATP phosphoribosyltransferase	hisG
D-glutamate + UDP-N-acetyl-alpha-D-muramoyl-L-alanine + ATP  ->  UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate + ADP + phosphate + H+	UDP-<i>N<	murD
D-glutamate + UDP-N-acetyl-alpha-D-muramoyl-L-alanine + ATP  ->  UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate + ADP + phosphate + H+	i>-acetylmuramoyl-L-alanine&mdash	murD
D-glutamate + UDP-N-acetyl-alpha-D-muramoyl-L-alanine + ATP  ->  UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate + ADP + phosphate + H+	D-glutamate ligase	murD
sulfate + ATP + H+  ->  adenosine 5'-phosphosulfate + diphosphate	sulfate adenylyltransferase	cysD
sulfate + ATP + H+  ->  adenosine 5'-phosphosulfate + diphosphate	sulfate adenylyltransferase	cysN
2 ATP + H+  ->  P1,P4-bis(5'-adenosyl) tetraphosphate + diphosphate	2	lysU
2 ATP + H+  ->  P1,P4-bis(5'-adenosyl) tetraphosphate + diphosphate	3-dihydroxybenzoate-[aryl-carrier protein] ligase	lysU
2 ATP + H+  ->  P1,P4-bis(5'-adenosyl) tetraphosphate + diphosphate	lysine&mdash	lysU
2 ATP + H+  ->  P1,P4-bis(5'-adenosyl) tetraphosphate + diphosphate	tRNA ligase	lysU
2 ATP + H+  ->  P1,P4-bis(5'-adenosyl) tetraphosphate + diphosphate	2	entE
2 ATP + H+  ->  P1,P4-bis(5'-adenosyl) tetraphosphate + diphosphate	3-dihydroxybenzoate-[aryl-carrier protein] ligase	entE
2 ATP + H+  ->  P1,P4-bis(5'-adenosyl) tetraphosphate + diphosphate	lysine&mdash	entE
2 ATP + H+  ->  P1,P4-bis(5'-adenosyl) tetraphosphate + diphosphate	tRNA ligase	entE
2-dehydro-3-deoxy-D-gluconate + ATP  ->  2-dehydro-3-deoxy-D-gluconate 6-phosphate + ADP + H+	2-dehydro-3-deoxygluconokinase	kdgK
glycine + gamma-L-glutamyl-L-cysteine + ATP  ->  ADP + glutathione + phosphate + H+	glutathione synthetase	gshB
L-glutamate + ATP  ->  gamma-L-glutamyl 5-phosphate + ADP	glutamate 5-kinase	proB
D-glycerate + ATP  ->  3-phospho-D-glycerate + ADP + H+		
L-fuculose + ATP  ->  L-fuculose 1-phosphate + ADP + H+	L-fuculokinase	fucK
L-homoserine + ATP  ->  O-phospho-L-homoserine + ADP + H+	homoserine kinase	thrB
dTMP + ATP  ->  dTDP + ADP	dTMP kinase	tmk
ATP + 1-deoxy-D-xylulose  ->  1-deoxy-D-xylulose 5-phosphate + ADP + H+	xylulokinase	xylB
tRNAGly + glycine + ATP  ->  glycyl-[tRNAGly] + AMP + diphosphate	glycine&mdash	glyS
tRNAGly + glycine + ATP  ->  glycyl-[tRNAGly] + AMP + diphosphate	tRNA ligase	glyS
tRNAGly + glycine + ATP  ->  glycyl-[tRNAGly] + AMP + diphosphate	glycine&mdash	glyQ
tRNAGly + glycine + ATP  ->  glycyl-[tRNAGly] + AMP + diphosphate	tRNA ligase	glyQ
L-alanine + ATP + H+  ->  (L-alanyl)adenylate + diphosphate	proline&mdash	alaS
L-alanine + ATP + H+  ->  (L-alanyl)adenylate + diphosphate	tRNA ligase	alaS
L-alanine + ATP + H+  ->  (L-alanyl)adenylate + diphosphate	alanine&mdash	alaS
L-alanine + ATP + H+  ->  (L-alanyl)adenylate + diphosphate	tRNA ligase	alaS
L-alanine + ATP + H+  ->  (L-alanyl)adenylate + diphosphate	DNA-binding transcriptional repressor	alaS
L-alanine + ATP + H+  ->  (L-alanyl)adenylate + diphosphate	proline&mdash	proS
L-alanine + ATP + H+  ->  (L-alanyl)adenylate + diphosphate	tRNA ligase	proS
L-alanine + ATP + H+  ->  (L-alanyl)adenylate + diphosphate	alanine&mdash	proS
L-alanine + ATP + H+  ->  (L-alanyl)adenylate + diphosphate	tRNA ligase	proS
L-alanine + ATP + H+  ->  (L-alanyl)adenylate + diphosphate	DNA-binding transcriptional repressor	proS
alpha-D-glucopyranose 1-phosphate + ATP + H+  ->  ADP-alpha-D-glucose + diphosphate	glucose-1-phosphate adenylyltransferase	glgC
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ATP  ->  2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol + ADP + H+	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE
tRNAasp + L-aspartate + ATP  ->  L-aspartyl-[tRNAasp] + AMP + diphosphate	aspartate&mdash	aspS
tRNAasp + L-aspartate + ATP  ->  L-aspartyl-[tRNAasp] + AMP + diphosphate	tRNA ligase	aspS
3-dehydro-L-gulonate + ATP  ->  3-dehydro-L-gulonate 6-phosphate + ADP + H+	L-xylulose kinase	lyxK
hydrogen carbonate + ATP  ->  carboxyphosphate + ADP	carbamoyl-phosphate synthetase	
hydrogen carbonate + ATP  ->  carboxyphosphate + ADP	glutamine-hydrolyzing	
methylphosphonate + ATP  ->  alpha-D-ribose-1-methylphosphonate-5-triphosphate + adenine	carbon-phosphorus lyase core complex subunit PhnI	phnI
ATP + H2O  ->  ADP + phosphate + H+	redox-responsive ATPase YchF	lhr
ATP + H2O  ->  ADP + phosphate + H+	DNA repair helicase RadD	lhr
ATP + H2O  ->  ADP + phosphate + H+	ATP-dependent helicase	lhr
ATP + H2O  ->  ADP + phosphate + H+	uracil glycosylase Lhr	lhr
ATP + H2O  ->  ADP + phosphate + H+	redox-responsive ATPase YchF	radD
ATP + H2O  ->  ADP + phosphate + H+	DNA repair helicase RadD	radD
ATP + H2O  ->  ADP + phosphate + H+	ATP-dependent helicase	radD
ATP + H2O  ->  ADP + phosphate + H+	uracil glycosylase Lhr	radD
ATP + H2O  ->  ADP + phosphate + H+	redox-responsive ATPase YchF	ychF
ATP + H2O  ->  ADP + phosphate + H+	DNA repair helicase RadD	ychF
ATP + H2O  ->  ADP + phosphate + H+	ATP-dependent helicase	ychF
ATP + H2O  ->  ADP + phosphate + H+	uracil glycosylase Lhr	ychF
L-glycero-L-galacto-octuluronate + ATP  ->  L-glycero-L-galacto-octuluronate-1-phosphate + ADP + H+	L-glycero-L-galacto-octuluronate kinase	ydjH
4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + ATP  ->  4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + ADP	bifunctional hydroxymethylpyrimidine kinase	thiD
4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + ATP  ->  4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + ADP	phosphomethylpyrimidine kinase	thiD
m7GTP + H2O  ->  N7-methylguanosine 5'-phosphate + diphosphate + H+	m<sup>7<	yceF
m7GTP + H2O  ->  N7-methylguanosine 5'-phosphate + diphosphate + H+	sup>GTP pyrophosphatase	yceF
tRNAPro + L-proline + ATP  ->  L-prolyl-[tRNAPro] + AMP + diphosphate	proline&mdash	proS
tRNAPro + L-proline + ATP  ->  L-prolyl-[tRNAPro] + AMP + diphosphate	tRNA ligase	proS
dUDP + ATP  ->  dUTP + ADP	nucleoside diphosphate kinase	ndk
carbamoyl phosphate + ATP + H2O  ->  (O-carbamoyl)adenylate + diphosphate + phosphate	carbamoyl--[HypE] ligase	hypF
ATP + CcmAB complex + heme(III)-bound CcmCDE complex  ->  CcmABCD complex + heme(III)-bound CcmE protein + ADP + phosphate	CcmAB	ccmB
ATP + CcmAB complex + heme(III)-bound CcmCDE complex  ->  CcmABCD complex + heme(III)-bound CcmE protein + ADP + phosphate	CcmAB	ccmA
dCDP + ATP  ->  dCTP + ADP	adenylate kinase	ndk
dCDP + ATP  ->  dCTP + ADP	nucleoside diphosphate kinase	ndk
dCDP + ATP  ->  dCTP + ADP	adenylate kinase	adk
dCDP + ATP  ->  dCTP + ADP	nucleoside diphosphate kinase	adk
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcN	dgcJ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcC	dgcJ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcM	dgcJ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcZ	dgcJ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	probable diguanylate cyclase DgcT	dgcJ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DosC	dgcJ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcP	dgcJ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcE	dgcJ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcQ	dgcJ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcJ	dgcJ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcN	dgcQ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcC	dgcQ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcM	dgcQ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcZ	dgcQ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	probable diguanylate cyclase DgcT	dgcQ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DosC	dgcQ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcP	dgcQ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcE	dgcQ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcQ	dgcQ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcJ	dgcQ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcN	dgcE
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcC	dgcE
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcM	dgcE
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcZ	dgcE
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	probable diguanylate cyclase DgcT	dgcE
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DosC	dgcE
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcP	dgcE
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcE	dgcE
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcQ	dgcE
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcJ	dgcE
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcN	dgcP
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcC	dgcP
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcM	dgcP
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcZ	dgcP
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	probable diguanylate cyclase DgcT	dgcP
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DosC	dgcP
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcP	dgcP
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcE	dgcP
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcQ	dgcP
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcJ	dgcP
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcN	dosC
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcC	dosC
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcM	dosC
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcZ	dosC
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	probable diguanylate cyclase DgcT	dosC
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DosC	dosC
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcP	dosC
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcE	dosC
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcQ	dosC
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcJ	dosC
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcN	dgcT
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcC	dgcT
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcM	dgcT
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcZ	dgcT
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	probable diguanylate cyclase DgcT	dgcT
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DosC	dgcT
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcP	dgcT
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcE	dgcT
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcQ	dgcT
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcJ	dgcT
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcN	dgcZ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcC	dgcZ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcM	dgcZ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcZ	dgcZ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	probable diguanylate cyclase DgcT	dgcZ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DosC	dgcZ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcP	dgcZ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcE	dgcZ
2 GTP  ->  cyclic di-3',5'-guanylate + 2 diphosphate	diguanylate cyclase DgcQ	dgcZ
