Reaction,EC-Number,Substrates,Products of reaction,Enzymes of a reaction,Genes of a reaction,Pathways of a reaction
L-tyrosine + ATP + H+  ->  (L-tryrosyl)adenylate + diphosphate,,H<SUP>+</SUP> // ATP // L-tyrosine // (L-tryrosyl)adenylate // diphosphate,(L-tryrosyl)adenylate // diphosphate,phenylalanine&mdash;tRNA ligase // tyrosine&mdash;tRNA ligase,tyrS // pheS // pheT,
"(S)-propane-1,2-diol + NAD+  <-->  hydroxyacetone + NADH + H+",,"NAD<sup>+</sup> // (<i>S</i>)-propane-1,2-diol // hydroxyacetone // NADH // H<SUP>+</SUP>",hydroxyacetone // NADH // H<SUP>+</SUP>,"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase",gldA,methylglyoxal degradation III
Painter reaction,,H<SUP>+</SUP> // glutathione // selenite // selenodiglutathione // glutathione disulfide // H<sub>2</sub>O,selenodiglutathione // glutathione disulfide // H<sub>2</sub>O,,,
"a 1,2-diacyl-sn-glycerol 3-diphosphate[periplasm] + H2O[periplasm]  ->  a phosphatidate[periplasm] + phosphate[periplasm] + H+[periplasm]",EC-3.6.1.75,"H<sub>2</sub>O // a 1,2-diacyl-<i>sn</i>-glycerol 3-diphosphate // a phosphatidate // phosphate // H<SUP>+</SUP>",a phosphatidate // phosphate // H<SUP>+</SUP>,phosphatidylglycerophosphatase B,pgpB,
a lipopolysaccharide + dTDP-beta-L-rhamnose  ->  a rhamnosyl lipopolysaccharide + dTDP,,dTDP-&beta;-L-rhamnose // a lipopolysaccharide // a rhamnosyl lipopolysaccharide // dTDP,a rhamnosyl lipopolysaccharide // dTDP,lipopolysaccharide core biosynthesis protein WaaS,waaS,
L-tartrate + NAD+  <-->  (3R)-oxaloglycolate + NADH + H+,EC-1.1.1.93,L-tartrate // NAD<sup>+</sup> // H<SUP>+</SUP> // NADH // (3R)-oxaloglycolate,H<SUP>+</SUP> // NADH // (3R)-oxaloglycolate,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),dmlA,
2-oxoglutarate + 4-aminobutanoate  <-->  L-glutamate + succinate semialdehyde,EC-2.6.1.19,4-aminobutanoate // 2-oxoglutarate // L-glutamate // succinate semialdehyde,L-glutamate // succinate semialdehyde,4-aminobutyrate aminotransferase PuuE // 4-aminobutyrate aminotransferase GabT,gabT // puuE,4-aminobutanoate degradation II // 4-aminobutanoate degradation I
(2-aminoethyl)phosphonate + acetyl-CoA  ->  (2-acetamidoethyl)phosphonate + coenzyme A + 2 H+,EC-2.3.1.280,acetyl-CoA // (2-aminoethyl)phosphonate // (2-acetamidoethyl)phosphonate // coenzyme A // H<SUP>+</SUP>,(2-acetamidoethyl)phosphonate // coenzyme A // H<SUP>+</SUP>,aminoalkylphosphonate <i>N</i>-acetyltransferase,phnO,
polycistronic transcript containing tRNA & mRNA + H2O  ->  polycistronic transcript containing mRNA & tRNA with a short 3' extension + RNA fragment,EC-3.1.13.1,H<sub>2</sub>O // a polycistronic transcript containing tRNA &amp; mRNA // a polycistronic transcript containing mRNA &amp; tRNA with a short 3' extension // an RNA fragment,a polycistronic transcript containing mRNA &amp; tRNA with a short 3' extension // an RNA fragment,ribonuclease E,rne,polycistronic tRNA processing III
tellurite + reduced two electron carrier  ->  Te0 + oxidized electron carrier,EC-1.97.1,a reduced two electron carrier // tellurite // Te<sup>0</sup> // an oxidized electron carrier,Te<sup>0</sup> // an oxidized electron carrier,lipoamide dehydrogenase // nitrate reductase Z // nitrate reductase A // cupric reductase RclA,rclA // narG // narH // narI // narY // narZ // narV // lpd,
GDP-beta-L-fucose + NADP+  <-  GDP-4-dehydro-alpha-D-rhamnose + NADPH + H+,EC-1.1.1.271,NADP<sup>+</sup> // GDP-&beta;-L-fucose // H<SUP>+</SUP> // NADPH // GDP-4-dehydro-&alpha;-D-rhamnose,GDP-&beta;-L-fucose // NADP<sup>+</sup>,GDP-L-fucose synthase,fcl,GDP-L-fucose biosynthesis I (from GDP-D-mannose)
<i>trans</i>-&Delta;<SUP>2</SUP>-decenoyl-[acp]-reductase,EC-1.3.1.9,NAD<sup>+</sup> // a decanoyl-[acp] // a (2<i>E</i>)-dec-2-enoyl-[acp] // NADH // H<SUP>+</SUP>,a decanoyl-[acp] // NAD<sup>+</sup>,enoyl-[acyl-carrier-protein] reductase,fabI,palmitate biosynthesis II (type II fatty acid synthase)
"a 2,3,4-saturated fatty acyl CoA[periplasm] + H2O[periplasm]  ->  a 2,3,4-saturated fatty acid[periplasm] + coenzyme A[periplasm] + H+[periplasm]",EC-3.1.2.20,"H<sub>2</sub>O // a 2,3,4-saturated fatty acyl CoA // a 2,3,4-saturated fatty acid // coenzyme A // H<SUP>+</SUP>","a 2,3,4-saturated fatty acid // coenzyme A // H<SUP>+</SUP>",multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,tesA,
(S)-NADHX + ADP  ->  AMP + NADH + phosphate + H+,EC-4.2.1.136,ADP // (<i>S</i>)-NADHX // H<SUP>+</SUP> // NADH // AMP // phosphate,H<SUP>+</SUP> // NADH // AMP // phosphate,NAD(P)HX epimerase / NAD(P)HX dehydratase,nnr,
pseudouridine + ATP  ->  pseudouridine 5'-phosphate + ADP + H+,EC-2.7.1.83,ATP // pseudouridine // H<SUP>+</SUP> // pseudouridine 5'-phosphate // ADP,H<SUP>+</SUP> // pseudouridine 5'-phosphate // ADP,putative pseudouridine kinase,psuK,pseudouridine degradation
(3S)-hydroxyadipyl-CoA + NAD+  <-->  3-oxoadipoyl-CoA + NADH + H+,EC-1.1.1.35,NAD<sup>+</sup> // (3S)-hydroxyadipyl-CoA // H<SUP>+</SUP> // 3-oxoadipoyl-CoA // NADH,H<SUP>+</SUP> // 3-oxoadipoyl-CoA // NADH,3-hydroxyadipyl-CoA dehydrogenase,paaH,phenylacetate degradation I (aerobic)
L-serine + ATP + H+  ->  (L-seryl)adenylate + diphosphate,,H<SUP>+</SUP> // ATP // L-serine // diphosphate // (L-seryl)adenylate,diphosphate // (L-seryl)adenylate,"alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor // threonine&mdash;tRNA ligase // serine&mdash;tRNA ligase // holo-EntB dimer // phosphopantetheinyl transferase EntD // holo [EntF peptidyl-carrier protein] // 2,3-dihydroxybenzoate-[aryl-carrier protein] ligase // <i>holo</i> [EntF peptidyl-carrier protein]",entB // entD // entF // entE // serS // thrS // alaS,enterobactin biosynthesis
"(5Z)-tetradecenoyl-CoA + oxidized electron-transfer flavoprotein + H+  <-->  (2E,5Z)-tetradec-2,5-enoyl-CoA + reduced electron-transfer flavoprotein",EC-1.3.8.8,"H<SUP>+</SUP> // an oxidized electron-transfer flavoprotein // (5Z)-tetradecenoyl-CoA // (2<i>E</i>,5<i>Z</i>)-tetradec-2,5-enoyl-CoA // a reduced electron-transfer flavoprotein","(2<i>E</i>,5<i>Z</i>)-tetradec-2,5-enoyl-CoA // a reduced electron-transfer flavoprotein",acyl-CoA dehydrogenase,fadE,oleate &beta;-oxidation
alpha-D-glucose 6-phosphate + H2O  ->  alpha-D-glucopyranose + phosphate,EC-3.1.3.58 // EC-3.1.3.9,H<sub>2</sub>O // &alpha;-D-glucose 6-phosphate // &alpha;-D-glucopyranose // phosphate,&alpha;-D-glucopyranose // phosphate,sugar phosphatase YbiV // hexitol phosphatase A // sugar phosphatase YidA // phosphosugar phosphatase YigL // alkaline phosphatase,,
GMP + diphosphate  <-  guanine + 5-phospho-alpha-D-ribose 1-diphosphate,EC-2.4.2.8,diphosphate // GMP // guanine // 5-phospho-&alpha;-D-ribose 1-diphosphate,GMP // diphosphate,hypoxanthine phosphoribosyltransferase // xanthine-guanine phosphoribosyltransferase,gpt // hpt,guanine and guanosine salvage I
succinate semialdehyde + NAD+ + H2O  ->  succinate + NADH + 2 H+,EC-1.2.1.24,succinate semialdehyde // NAD<sup>+</sup> // H<sub>2</sub>O // H<SUP>+</SUP> // NADH // succinate,H<SUP>+</SUP> // NADH // succinate,&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase // succinate semialdehyde dehydrogenase (NAD(P)<sup>+</sup>) Sad,sad // puuC,4-aminobutanoate degradation I
3'-dephospho-CoA + ATP  ->  2'-(5''-triphospho-alpha-D-ribosyl)-3'-dephospho-CoA + adenine,EC-2.4.2.52,ATP // 3'-dephospho-CoA // 2'-(5''-triphospho-&alpha;-D-ribosyl)-3'-dephospho-CoA // adenine,2'-(5''-triphospho-&alpha;-D-ribosyl)-3'-dephospho-CoA // adenine,triphosphoribosyl-dephospho-CoA synthase,citG,citrate lyase activation
2 GTP + bis(molybdenum cofactor) + 2 H+  ->  bis(guanylyl molybdopterin) cofactor + 2 diphosphate,,H<SUP>+</SUP> // GTP // <i>bis</i>(molybdenum cofactor) // <i>bis</i>(guanylyl molybdopterin) cofactor // diphosphate,<i>bis</i>(guanylyl molybdopterin) cofactor // diphosphate,molybdenum cofactor guanylyltransferase,mobA,bis(guanylyl molybdenum cofactor) biosynthesis
AMP + ATP  <-->  2 ADP,EC-2.7.4.3,ATP // AMP // ADP,ADP,adenylate kinase,adk,adenosine ribonucleotides <i>de novo</i> biosynthesis
an acyl phosphate + H2O  ->  a carboxylate + phosphate + H+,EC-3.6.1.7,an acyl phosphate // H<sub>2</sub>O // phosphate // a carboxylate // H<SUP>+</SUP>,phosphate // a carboxylate // H<SUP>+</SUP>,acylphosphatase,yccX,
"an osmoregulated periplasmic glucan[periplasm] + a phosphatidylglycerol[periplasm]  <-->  an osmoregulated periplasmic glucan with phosphoglycerol substituent[periplasm] + a 1,2-diacyl-sn-glycerol[periplasm] + H+[periplasm]",EC-2.7.8.20,"a phosphatidylglycerol // an osmoregulated periplasmic glucan // an osmoregulated periplasmic glucan with phosphoglycerol substituent // a 1,2-diacyl-<i>sn</i>-glycerol // H<SUP>+</SUP>","an osmoregulated periplasmic glucan with phosphoglycerol substituent // a 1,2-diacyl-<i>sn</i>-glycerol // H<SUP>+</SUP>",phosphoglycerol transferase I,opgB,
alpha-Hep-(1->3)-alpha-Hep-(1->5)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->6)-lipid A (E. coli) + ATP  ->  alpha-Hep-(1->3)-4-O-phospho-alpha-Hep-(1->5)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->6)-lipid A (E. coli) + ADP + H+,EC-2.7.1.235,ATP // &alpha;-Hep-(1&rarr;3)-&alpha;-Hep-(1&rarr;5)-[&alpha;-Kdo-(2&rarr;4)]-&alpha;-Kdo-(2&rarr;6)-lipid A (<i>E. coli</i>) // &alpha;-Hep-(1&rarr;3)-4-<i>O</i>-phospho-&alpha;-Hep-(1&rarr;5)-[&alpha;-Kdo-(2&rarr;4)]-&alpha;-Kdo-(2&rarr;6)-lipid A (<i>E. coli</i>) // ADP // H<SUP>+</SUP>,&alpha;-Hep-(1&rarr;3)-4-<i>O</i>-phospho-&alpha;-Hep-(1&rarr;5)-[&alpha;-Kdo-(2&rarr;4)]-&alpha;-Kdo-(2&rarr;6)-lipid A (<i>E. coli</i>) // ADP // H<SUP>+</SUP>,lipopolysaccharide core heptose (I) kinase,waaP,lipid A-core biosynthesis (<i>E. coli</i> K-12)
2-O-(alpha-D-glucopyranosyl)-D-glycerate + phosphate  <-->  alpha-D-glucopyranose 1-phosphate + D-glycerate,EC-2.4.1.352,phosphate // 2-<i>O</i>-(&alpha;-D-glucopyranosyl)-D-glycerate // &alpha;-D-glucopyranose 1-phosphate // D-glycerate,&alpha;-D-glucopyranose 1-phosphate // D-glycerate,glucosylglycerate phosphorylase,ycjM,
1-pyrroline-5-carboxylate dehydrogenase,,H<sub>2</sub>O // NAD<sup>+</sup> // (<i>S</i>)-1-pyrroline-5-carboxylate // H<SUP>+</SUP> // L-glutamate // NADH,H<SUP>+</SUP> // L-glutamate // NADH,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,putA,proline degradation
ATP + 5-phospho-beta-D-ribosylamine + glycine  ->  ADP + N1-(5-phospho-beta-D-ribosyl)glycinamide + phosphate + H+,EC-6.3.4.13,glycine // 5-phospho-&beta;-D-ribosylamine // ATP // H<SUP>+</SUP> // ADP // phosphate // <i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide,H<SUP>+</SUP> // ADP // phosphate // <i>N</i><sup>1</sup>-(5-phospho-&beta;-D-ribosyl)glycinamide,phosphoribosylamine--glycine ligase,purD,5-aminoimidazole ribonucleotide biosynthesis II // 5-aminoimidazole ribonucleotide biosynthesis I // superpathway of 5-aminoimidazole ribonucleotide biosynthesis (from PRPP)
2-octaprenyl-6-hydroxyphenyl methylase,EC-2.1.1.222,"3-(<i>all-trans</i>-octaprenyl)benzene-1,2-diol // <i>S</i>-adenosyl-L-methionine // H<SUP>+</SUP> // 2-methoxy-6-(<i>all-trans</i>-octaprenyl)phenol // <i>S</i>-adenosyl-L-homocysteine",H<SUP>+</SUP> // 2-methoxy-6-(<i>all-trans</i>-octaprenyl)phenol // <i>S</i>-adenosyl-L-homocysteine,bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase,ubiG,ubiquinol-8 biosynthesis (anaerobic) // ubiquinol-8 biosynthesis (early decarboxylation)
an [arsenate reductase]-L-cysteine + arsenate + H+  ->  thiarsahydroxy-[arsenate reductase] + H2O,,H<SUP>+</SUP> // arsenate // an [arsenate reductase]-L-cysteine // thiarsahydroxy-[arsenate reductase] // H<sub>2</sub>O,thiarsahydroxy-[arsenate reductase] // H<sub>2</sub>O,arsenate reductase,arsC,
CTP + MoO2(OH)-molybdopterin cofactor + H+  ->  cytidylyl  MoO2(OH)-molybdopterin cofactor + diphosphate,EC-2.7.7.76,H<SUP>+</SUP> // CTP // MoO<sub>2</sub>(OH)-molybdopterin cofactor // cytidylyl  MoO<sub>2</sub>(OH)-molybdopterin cofactor // diphosphate,cytidylyl  MoO<sub>2</sub>(OH)-molybdopterin cofactor // diphosphate,molybdenum cofactor cytidylyltransferase,mocA,cytidylyl molybdenum cofactor biosynthesis
1-(beta-D ribofuranosyl)nicotinamide + ATP  ->  beta-nicotinamide D-ribonucleotide + ADP + H+,EC-2.7.1.22,ATP // 1-(&beta;-D ribofuranosyl)nicotinamide // H<SUP>+</SUP> // &beta;-nicotinamide D-ribonucleotide // ADP,H<SUP>+</SUP> // &beta;-nicotinamide D-ribonucleotide // ADP,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,nadR,NAD salvage pathway IV (from nicotinamide riboside)
a double-stranded oligonucleotide + H2O  ->  n a nucleoside 5'-monophosphate,EC-3.1.13.3,H<sub>2</sub>O // a double-stranded oligonucleotide // a nucleoside 5'-monophosphate,a nucleoside 5'-monophosphate,oligoribonuclease,orn,
holo-[EntF L-seryl-carrier protein] + (L-seryl)adenylate  ->  seryl-[EntF L-seryl-carrier protein] + AMP + H+,,(L-seryl)adenylate // a <i>holo</i>-[EntF L-seryl-carrier protein] // a seryl-[EntF L-seryl-carrier protein] // AMP // H<SUP>+</SUP>,a seryl-[EntF L-seryl-carrier protein] // AMP // H<SUP>+</SUP>,"holo-EntB dimer // phosphopantetheinyl transferase EntD // holo [EntF peptidyl-carrier protein] // 2,3-dihydroxybenzoate-[aryl-carrier protein] ligase // <i>holo</i> [EntF peptidyl-carrier protein]",entB // entD // entF // entE,enterobactin biosynthesis
L-threonine  ->  2-oxobutanoate + ammonium,EC-4.3.1.19,L-threonine // 2-oxobutanoate // ammonium,2-oxobutanoate // ammonium,catabolic threonine dehydratase // threonine deaminase,ilvA // tdcB,L-isoleucine biosynthesis I (from threonine) // L-threonine degradation I
L-glutamine + ATP + H+  ->  (L-glutaminyl)adenylate + diphosphate,,H<SUP>+</SUP> // ATP // L-glutamine // (L-glutaminyl)adenylate // diphosphate,(L-glutaminyl)adenylate // diphosphate,glutamine&mdash;tRNA ligase,glnS,
agmatine + H2O  ->  urea + putrescine,EC-3.5.3.11,agmatine // H<sub>2</sub>O // urea // putrescine,urea // putrescine,agmatinase,speB,putrescine biosynthesis I // L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
pyruvate + coenzyme A + NAD+  ->  acetyl-CoA + CO2 + NADH,EC-1.2.1.104,NAD<sup>+</sup> // coenzyme A // pyruvate // acetyl-CoA // CO<SUB>2</SUB> // NADH,acetyl-CoA // CO<SUB>2</SUB> // NADH,pyruvate dehydrogenase // pyruvate dehydrogenase E2 subunit // lipoamide dehydrogenase,lpd // aceF // aceE,"pyruvate decarboxylation to acetyl CoA I // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
"cis-vaccenoyl-[acp] + NAD+  <-  (2E,11Z)-octadeca-2,11-dienoyl-[acp] + NADH + H+",EC-1.3.1.9,"NAD<sup>+</sup> // a <i>cis</i>-vaccenoyl-[acp] // a (2<i>E</i>,11<i>Z</i>)-octadeca-2,11-dienoyl-[acp] // NADH // H<SUP>+</SUP>",a <i>cis</i>-vaccenoyl-[acp] // NAD<sup>+</sup>,enoyl-[acyl-carrier-protein] reductase,fabI,<i>cis</i>-vaccenate biosynthesis
"NADPH  ->  1,2-dihydro-beta-NADP",,"NADPH // 1,2-dihydro-&beta;-NADP","1,2-dihydro-&beta;-NADP",,,
"2-deoxy-2,3-dehydro-N-acetylneuraminate + H2O  ->  N-acetyl-alpha-neuraminate",EC-4.2.1,"<i>N</i>-acetyl-&alpha;-neuraminate // 2-deoxy-2,3-dehydro-<i>N</i>-acetylneuraminate // H<sub>2</sub>O",<i>N</i>-acetyl-&alpha;-neuraminate,"KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase",nanY,
S-(hydroxymethyl)glutathione  <-  formaldehyde + glutathione,EC-4.4.1.22,<i>S</i>-(hydroxymethyl)glutathione // formaldehyde // glutathione,<i>S</i>-(hydroxymethyl)glutathione,,,formaldehyde oxidation II (glutathione-dependent)
ATP + (R)-lipoate + H+  ->  [(R)-lipoyl]adenylate + diphosphate,,ATP // (<i>R</i>)-lipoate // H<SUP>+</SUP> // [(<i>R</i>)-lipoyl]adenylate // diphosphate,[(<i>R</i>)-lipoyl]adenylate // diphosphate,lipoate&mdash;protein ligase A,lplA,lipoate salvage I
D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate  ->  3-(imidazol-4-yl)-2-oxopropyl phosphate + H2O,EC-4.2.1.19,D-<i>erythro</i>-1-(imidazol-4-yl)-glycerol 3-phosphate // 3-(imidazol-4-yl)-2-oxopropyl phosphate // H<sub>2</sub>O,3-(imidazol-4-yl)-2-oxopropyl phosphate // H<sub>2</sub>O,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,hisB,L-histidine biosynthesis
2-oxoglutarate + a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  ->  a [2-oxoglutarate dehydrogenase E2 protein] N6-S-succinyldihydrolipoyl-L-lysine + CO2,EC-1.2.4.2,H<SUP>+</SUP> // a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine // 2-oxoglutarate // a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-succinyldihydrolipoyl-L-lysine // CO<SUB>2</SUB>,a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-succinyldihydrolipoyl-L-lysine // CO<SUB>2</SUB>,"2-oxoglutarate decarboxylase, thiamine-requiring // 2-oxoglutarate dehydrogenase complex",sucA,2-oxoglutarate decarboxylation to succinyl-CoA
8-oxo-dGTP + H2O  ->  8-oxo-dGMP + diphosphate + H+,EC-3.6.1.55,H<sub>2</sub>O // 8-oxo-dGTP // H<SUP>+</SUP> // 8-oxo-dGMP // diphosphate,H<SUP>+</SUP> // 8-oxo-dGMP // diphosphate,8-oxo-dGTP diphosphatase,mutT,
"1,N6-alpha-hydroxypropanoadenine in DNA + 2-oxoglutarate + dioxygen  ->  an adenine in DNA + malondialdehyde + CO2 + succinate",EC-1.14.11.33,"dioxygen // 2-oxoglutarate // 1,<i>N</i><sup>6</sup>-&alpha;-hydroxypropanoadenine in DNA // an adenine in DNA // malondialdehyde // CO<SUB>2</SUB> // succinate",an adenine in DNA // malondialdehyde // CO<SUB>2</SUB> // succinate,DNA oxidative demethylase,alkB,
a 7-aminomethyl-7-deazaguanosine34 in tRNA + S-adenosyl-L-methionine  ->  an epoxyqueuosine34 in tRNA + adenine + L-methionine + H+,EC-2.4.99.17,a 7-aminomethyl-7-deazaguanosine<sup>34</sup> in tRNA // <i>S</i>-adenosyl-L-methionine // an epoxyqueuosine<sup>34</sup> in tRNA // adenine // L-methionine // H<SUP>+</SUP>,an epoxyqueuosine<sup>34</sup> in tRNA // adenine // L-methionine // H<SUP>+</SUP>,tRNA preQ134 S-adenosylmethionine ribosyltransferase-isomerase,queA,queuosine biosynthesis I (<i>de novo</i>)
L-rhamnonate  ->  2-dehydro-3-deoxy-L-rhamnonate + H2O,EC-4.2.1.90,L-rhamnonate // 2-dehydro-3-deoxy-L-rhamnonate // H<sub>2</sub>O,2-dehydro-3-deoxy-L-rhamnonate // H<sub>2</sub>O,L-rhamnonate dehydratase,rhmD,
ATP + D-gluconate  ->  ADP + D-gluconate 6-phosphate + H+,EC-2.7.1.12,D-gluconate // ATP // H<SUP>+</SUP> // ADP // D-gluconate 6-phosphate,H<SUP>+</SUP> // ADP // D-gluconate 6-phosphate,"D-gluconate kinase, thermostable // D-gluconate kinase, thermosensitive",idnK // gntK,D-gluconate degradation // L-idonate degradation
(S)-lactate + H+  ->  (S)-lactic acid,,H<SUP>+</SUP> // (<i>S</i>)-lactate // <i>(S)</i>-lactic acid,<i>(S)</i>-lactic acid,,,
4 Cu2+ + 4 NADH + dioxygen  ->  4 Cu+ + 4 NAD+ + 2 H2O,,NADH // dioxygen // Cu<SUP>2+</SUP> // Cu<SUP>+</SUP> // H<sub>2</sub>O // NAD<sup>+</sup>,Cu<SUP>+</SUP> // H<sub>2</sub>O // NAD<sup>+</sup>,cupric reductase RclA,rclA,
L-aspartate 4-semialdehyde + NADP+ + phosphate  <-->  L-aspartyl-4-phosphate + NADPH + H+,EC-1.2.1.11,L-aspartate 4-semialdehyde // phosphate // NADP<sup>+</sup> // H<SUP>+</SUP> // NADPH // L-aspartyl-4-phosphate,H<SUP>+</SUP> // NADPH // L-aspartyl-4-phosphate,aspartate-semialdehyde dehydrogenase,asd,L-lysine biosynthesis I // L-homoserine biosynthesis
ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  AMP + L-glutamate + NAD+ + diphosphate + H+,EC-6.3.5.1,H<sub>2</sub>O // L-glutamine // nicotinate adenine dinucleotide // ATP // H<SUP>+</SUP> // AMP // diphosphate // NAD<sup>+</sup> // L-glutamate,H<SUP>+</SUP> // AMP // diphosphate // NAD<sup>+</sup> // L-glutamate,,,NAD salvage pathway II (PNC IV cycle) // NAD salvage pathway I (PNC VI cycle) // NAD <i>de novo</i> biosynthesis I
ADP-D-glycero-beta-D-manno-heptose  ->  ADP-L-glycero-beta-D-manno-heptose,EC-5.1.3.20,ADP-D-glycero-&beta;-D-<i>manno</i>-heptose // ADP-L-glycero-&beta;-D-<I>manno</I>-heptose,ADP-L-glycero-&beta;-D-<I>manno</I>-heptose,ADP-L-glycero-D-mannoheptose 6-epimerase,rfaD,ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis
adenosylcobinamide + ATP  ->  adenosyl-cobinamide phosphate + ADP + H+,EC-2.7.1.156,ATP // adenosylcobinamide // H<SUP>+</SUP> // adenosyl-cobinamide phosphate // ADP,H<SUP>+</SUP> // adenosyl-cobinamide phosphate // ADP,cobinamide-P guanylyltransferase / cobinamide kinase,cobU,adenosylcobinamide-GDP salvage from cobinamide I // superpathway of adenosylcobalamin salvage from cobinamide I
"3 N-(2,3-dihydroxybenzoyl)-seryl-[EntF L-seryl-carrier protein]  ->  enterobactin + 3 holo-[EntF L-seryl-carrier protein]",,"an <i>N</i>-(2,3-dihydroxybenzoyl)-seryl-[EntF L-seryl-carrier protein] // enterobactin // a <i>holo</i>-[EntF L-seryl-carrier protein]",enterobactin // a <i>holo</i>-[EntF L-seryl-carrier protein],"<i>holo</i> [EntF peptidyl-carrier protein] // holo-EntB dimer // phosphopantetheinyl transferase EntD // holo [EntF peptidyl-carrier protein] // 2,3-dihydroxybenzoate-[aryl-carrier protein] ligase",entF,enterobactin biosynthesis
a [protein]-alpha-L-glutamate + S-adenosyl-L-methionine  ->  a [protein]-L-glutamate-O5-methyl-ester + S-adenosyl-L-homocysteine,EC-2.1.1.80,a [protein]-&alpha;-L-glutamate // <i>S</i>-adenosyl-L-methionine // a [protein]-L-glutamate-<I>O<sup>5</sup></I>-methyl-ester // <i>S</i>-adenosyl-L-homocysteine,a [protein]-L-glutamate-<I>O<sup>5</sup></I>-methyl-ester // <i>S</i>-adenosyl-L-homocysteine,chemotaxis protein methyltransferase,cheR,
"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate + NAD+  ->  3-(2,3-dihydroxyphenyl)propanoate + NADH + H+",EC-1.3.1.87,"NAD<sup>+</sup> // 3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate // H<SUP>+</SUP> // 3-(2,3-dihydroxyphenyl)propanoate // NADH","H<SUP>+</SUP> // 3-(2,3-dihydroxyphenyl)propanoate // NADH","2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase",hcaB,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate
palmitoyl-[acp] + H2O  ->  palmitate + an acyl-carrier protein + H+,EC-3.1.2.14,H<sub>2</sub>O // a palmitoyl-[acp] // palmitate // a soluble [acyl-carrier protein] // H<SUP>+</SUP>,palmitate // a soluble [acyl-carrier protein] // H<SUP>+</SUP>,,,palmitate biosynthesis II (type II fatty acid synthase)
pimeloyl-[acp] methyl ester + NAD+  <-  (2E)-enoylpimeloyl-[acp] methyl ester + NADH + H+,EC-1.3.1.9,NAD<sup>+</sup> // a pimeloyl-[acp] methyl ester // a (2<i>E</i>)-enoylpimeloyl-[acp] methyl ester // NADH // H<SUP>+</SUP>,a pimeloyl-[acp] methyl ester // NAD<sup>+</sup>,enoyl-[acyl-carrier-protein] reductase,fabI,8-amino-7-oxononanoate biosynthesis I
"2-methoxy-6-(all-trans-octaprenyl)phenol + NADPH + dioxygen + H+  ->  2-methoxy-6-(all trans-octaprenyl)benzene-1,4-diol + NADP+ + H2O",EC-1.14.13,"H<SUP>+</SUP> // NADPH // dioxygen // 2-methoxy-6-(<i>all-trans</i>-octaprenyl)phenol // 2-methoxy-6-(<i>all trans</i>-octaprenyl)benzene-1,4-diol // H<sub>2</sub>O // NADP<sup>+</sup>","2-methoxy-6-(<i>all trans</i>-octaprenyl)benzene-1,4-diol // H<sub>2</sub>O // NADP<sup>+</sup>",2-octaprenyl-6-methoxyphenol 4-hydroxylase,ubiH,ubiquinol-8 biosynthesis (early decarboxylation)
<i>trans</i> tetradec-2-enoyl-[acp] reductase,EC-1.3.1.9,NAD<sup>+</sup> // a myristoyl-[acp] // a (2<i>E</i>)-tetradec-2-enoyl-[acp] // NADH // H<SUP>+</SUP>,a myristoyl-[acp] // NAD<sup>+</sup>,enoyl-[acyl-carrier-protein] reductase,fabI,palmitate biosynthesis II (type II fatty acid synthase)
